clave,pregunta,n_chunks,n_documentos,documentos,sim_media,sim_min,sim_max
decreto31_cambios,¿Qué cambios introduce el Decreto 31/2024?,4,1,Decreto 31/2024 | Decreto 31/2024 | Decreto 31/2024 | Decreto 31/2024,0.6028389632701874,0.5757317543029785,0.6172012090682983
instruccion1_2024,¿Qué establece la Instrucción 1/2024 sobre las viviendas de uso turístico?,4,1,Instrucción 1/2024 | Instrucción 1/2024 | Instrucción 1/2024 | Instrucción 1/2024,0.7845846861600876,0.7510185837745667,0.7974973320960999
umbral_8_por_ciento,¿Qué ocurre cuando un barrio alcanza o supera el 8% de viviendas de uso turístico?,4,2,Acuerdo Pleno aprobación definitiva | Acuerdo Pleno aprobación definitiva | Informe de Impacto de la Vivienda Turística | Informe de Impacto de la Vivienda Turística,0.752336323261261,0.7379602193832397,0.775517463684082
impacto_residencial,¿Qué impacto tienen las VUT sobre la vivienda residencial en Málaga?,4,3,Memoria modificación PGOU VUT | Informe de Impacto de la Vivienda Turística | Acuerdo Pleno aprobación definitiva | Informe de Impacto de la Vivienda Turística,0.7485980242490768,0.7175504565238953,0.7720469236373901
requisitos_vut,¿Qué requisitos debe cumplir una vivienda de uso turístico?,4,3,Decreto 28/2016 | Informe jurídico sobre Instrucción 1/2024 | Informe jurídico sobre Instrucción 1/2024 | Decreto 31/2024,0.8187186270952225,0.8063406348228455,0.8262088298797607
decreto28_regulacion,¿Qué regula el Decreto 28/2016 sobre viviendas de uso turístico?,4,1,Decreto 28/2016 | Decreto 28/2016 | Decreto 28/2016 | Decreto 28/2016,0.8148513734340668,0.8035692572593689,0.8282901048660278
limite_ayuntamiento,¿Puede el Ayuntamiento de Málaga limitar la implantación de nuevas VUT?,4,3,Acuerdo Pleno aprobación definitiva | Instrucción 1/2024 | Acuerdo Pleno aprobación definitiva | Informe jurídico sobre Instrucción 1/2024,0.7241999804973602,0.7022688984870911,0.7408462166786194
sancion_exacta,¿Cuál es la sanción económica exacta por alquilar una VUT sin licencia en Málaga?,4,3,Instrucción 1/2024 | Acuerdo Pleno aprobación definitiva | Informe jurídico sobre Instrucción 1/2024 | Acuerdo Pleno aprobación definitiva,0.6300021409988403,0.602814793586731,0.6685584783554077
